id,wahlkreisname,gesamt,CDU,SPD,AfD,FDP,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,FREIE WÄHLER,PARTEI,Tierschutzpartei,Die Heimat,Piratenpartei Deutschland,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Die Grauen,Büso,Humanisten,Gartenpartei,du.,SGP,dieBasis,Bündnis C,Bürgerbewegung,III. Weg,Bündnis21,LIEBE,LKR,PdF,LfK,SSW,Todenhöfer,Unabhängige,Volt
289,Reutlingen,152575,39504,31535,15652,25288,5081,24197,2434,1239,1700,151,552,329,0,105,0,0,79,180,0,21,0,0,176,0,0,0,2442,445,205,0,71,0,49,0,0,0,689,0,451
290,Tübingen,159781,34775,32576,12548,22678,8231,37424,1978,1292,1777,132,532,503,0,223,0,0,50,155,0,42,0,0,208,0,0,0,2666,323,147,0,37,0,36,0,0,0,838,0,610
291,Ulm,176165,46805,36418,16046,25389,5377,31238,3808,1529,2491,173,914,515,0,143,0,0,87,252,0,36,0,0,310,0,0,0,2566,353,212,0,68,0,63,0,0,0,820,0,552
292,Biberach,132230,40472,23152,14308,19163,2967,18070,4155,1175,1921,158,559,1191,0,122,0,0,12,189,0,16,0,0,117,0,0,0,3207,241,200,0,43,0,27,0,0,0,433,0,332
293,Bodensee,136848,36571,26989,11916,21611,3905,23635,2526,1345,1433,94,490,555,0,133,0,0,27,125,0,32,0,0,117,0,0,0,3862,202,158,0,52,0,49,0,0,0,563,0,458
294,Ravensburg,145978,38927,27750,12650,21740,4735,25536,3751,1373,1604,93,536,1091,0,163,0,0,46,160,0,18,0,0,121,0,0,0,4156,238,183,0,48,0,44,0,0,0,570,0,445
295,Zollernalb – Sigmaringen,136540,39332,26716,16477,23200,3540,15503,2617,1335,1883,206,510,429,0,83,0,0,114,182,0,17,0,0,111,0,0,0,2980,258,167,0,47,0,30,0,0,0,545,0,258
296,Saarbrücken,140474,28797,53537,13006,16438,13484,0,2191,2764,3843,370,1009,698,0,0,0,0,141,0,0,0,0,0,0,0,0,0,1923,0,0,0,0,0,0,0,0,0,748,0,1525
297,Saarlouis,156279,38085,56920,15651,18872,10512,0,3315,2736,4535,350,860,593,0,0,0,0,76,0,0,0,0,0,0,0,0,0,2221,0,0,0,0,0,0,0,0,0,599,0,954
298,St. Wendel,137032,36248,51229,12904,14916,7887,0,2881,2276,3808,293,741,595,0,0,0,0,59,0,0,0,0,0,0,0,0,0,2094,0,0,0,0,0,0,0,0,0,408,0,693
299,Homburg,139883,32004,52091,16068,15719,9247,0,3359,2202,4045,362,809,645,0,0,0,0,81,0,0,0,0,0,0,0,0,0,1878,0,0,0,0,0,0,0,0,0,526,0,847
