id,wahlkreisname,gesamt,CDU,SPD,AfD,FDP,DIE LINKE,BÜNDNIS 90/DIE GRÜNEN,FREIE WÄHLER,PARTEI,Tierschutzpartei,Die Heimat,Piratenpartei Deutschland,ÖDP,V-Partei³,DiB,BP,Tierschutzallianz,MLPD,Verjüngungsforschung,Menschliche Welt,DKP,Die Grauen,Büso,Humanisten,Gartenpartei,du.,SGP,dieBasis,Bündnis C,Bürgerbewegung,III. Weg,Bündnis21,LIEBE,LKR,PdF,LfK,SSW,Todenhöfer,Unabhängige,Volt
251,Würzburg,184702,55957,37079,12220,19230,7027,35634,6871,1431,2091,115,665,1098,216,,279,,27,233,,39,,,307,,133,,2310,125,,64,,,41,,,,433,401,676
252,Augsburg-Stadt,152460,38653,29200,13888,16969,6952,28971,6446,1683,1624,90,578,936,479,,472,,98,178,,30,,,173,,91,,3092,116,,62,,,38,,,,802,250,589
253,Augsburg-Land,203667,67883,33405,19481,22301,4176,26207,16595,1318,2250,143,600,1387,384,,949,,46,245,,43,,,160,,98,,4239,181,,81,,,41,,,,540,482,432
254,Donau-Ries,156215,54929,25784,17135,15593,2855,14911,14973,891,1488,176,627,868,254,,648,,14,184,,20,,,78,,70,,3432,121,,94,,,106,,,,262,496,206
255,Neu-Ulm,187714,59028,31900,22293,22019,4410,20764,13772,1274,2716,276,927,1212,193,,715,,22,256,,31,,,170,,89,,3308,249,,114,,,48,,,,915,487,526
256,Oberallgäu,180741,55017,29910,14350,20953,5043,27393,14970,1371,1959,94,515,1253,306,,519,,15,184,,30,,,136,,104,,5209,186,,76,,,30,,,,476,285,357
257,Ostallgäu,197643,62635,30914,19779,21561,5007,23712,17985,1416,2086,214,767,1948,307,,1033,,22,208,,25,,,163,,125,,5832,347,,100,,,31,,,,685,407,334
258,Stuttgart I,156838,31536,31003,6591,26036,8127,44559,1088,1315,1271,32,594,344,,158,,,88,69,,46,,,207,,,,1821,169,127,,22,,19,,,,706,,910
259,Stuttgart II,132696,28403,30198,9541,20273,6739,28221,1206,1216,1368,64,571,293,,119,,,142,97,,58,,,163,,,,1589,153,193,,35,,19,,,,1446,,589
260,Böblingen,194114,50675,39955,16810,35082,5141,32594,3306,1447,1767,150,691,442,,197,,,97,183,,34,,,197,,,,2593,471,246,,67,,48,,,,1267,,654
261,Esslingen,131121,33175,29852,9733,20901,4063,23902,1969,1113,1457,82,395,329,,91,,,95,161,,21,,,186,,,,1928,185,120,,25,,29,,,,943,,366
262,Nürtingen,164570,42826,33995,14327,28807,4357,27702,2704,1442,1898,122,576,384,,250,,,55,182,,32,,,139,,,,2773,467,209,,63,,45,,,,890,,325
263,Göppingen,134423,35079,31422,15412,21723,3338,16916,2525,1176,1660,150,504,293,,122,,,59,161,,16,,,85,,,,2340,158,177,,55,,31,,,,685,,336
264,Waiblingen,174749,44987,37753,15474,30999,5001,27098,2452,1495,1958,121,902,473,,187,,,77,178,,39,,,166,,,,3477,402,201,,43,,44,,,,768,,454
265,Ludwigsburg,170842,42297,37284,14313,27611,5275,31433,2765,1462,1743,120,615,554,,149,,,82,136,,30,,,183,,,,2514,293,241,,51,,45,,,,1120,,526
266,Neckar-Zaber,185436,46315,41369,18702,30783,4851,29048,3248,1719,2054,220,619,592,,250,,,30,223,,21,,,174,,,,3078,384,283,,57,,46,,,,809,,561
267,Heilbronn,181055,43325,40961,23828,29386,5137,23476,3278,2041,2076,314,606,527,,140,,,106,250,,28,,,272,,,,2857,437,217,,73,,46,,,,1145,,529
268,Schwäbisch Hall – Hohenlohe,171230,41947,37272,21787,27850,4980,22734,2941,1672,1977,332,608,716,,107,,,67,242,,25,,,144,,,,4005,650,201,,61,,40,,,,419,,453
269,Backnang – Schwäbisch Gmünd,135424,34991,29341,15979,21397,3927,18579,2026,1485,1646,188,576,338,,91,,,70,178,,15,,,124,,,,3114,370,168,,42,,31,,,,477,,271
270,Aalen – Heidenheim,167245,45852,39468,17937,24562,4538,21226,3610,1469,1770,226,556,439,,138,,,87,210,,56,,,141,,,,3375,274,170,,43,,37,,,,644,,417
271,Karlsruhe-Stadt,158468,27998,33828,10774,20615,8910,44011,1438,1851,1608,71,622,385,,182,,,89,138,,44,,,463,,,,2863,322,101,,34,,23,,,,785,,1313
272,Karlsruhe-Land,166633,42831,38474,15869,24660,4483,26969,3001,1478,2287,143,525,330,,128,,,26,197,,20,,,245,,,,2991,548,198,,69,,60,,,,569,,532
273,Rastatt,153800,41495,36442,16333,21250,4280,21926,3000,1099,2026,144,546,199,,120,,,25,187,,17,,,132,,,,3272,101,170,,56,,35,,,,453,,492
274,Heidelberg,176804,36783,40275,10821,23240,8624,45314,2011,1470,1761,114,486,367,,161,,,65,186,,43,,,379,,,,2466,184,97,,44,,33,,,,624,,1256
275,Mannheim,140967,25682,35651,12846,18515,7066,29814,1871,1471,2178,146,529,241,,146,,,81,216,,58,,,200,,,,1845,146,136,,50,,23,,,,1212,,844
276,Odenwald – Tauber,160494,48866,35578,19208,20943,4084,17748,4701,1563,1911,246,510,590,,99,,,23,260,,13,,,127,,,,2724,270,195,,60,,42,,,,345,,388
277,Rhein-Neckar,152682,38871,35847,15701,21941,4320,24072,2620,1362,2033,244,546,275,,104,,,33,234,,33,,,134,,,,2436,363,142,,31,,45,,,,614,,681
278,Bruchsal – Schwetzingen,150776,38866,34434,17462,21978,4125,20858,3258,1527,2726,193,457,217,,103,,,20,257,,20,,,160,,,,2416,198,202,,51,,24,,,,680,,544
279,Pforzheim,162617,39324,34262,22028,26504,4342,21213,2914,1532,3276,218,561,318,,115,,,62,206,,18,,,177,,,,2428,819,866,,55,,52,,,,710,,617
280,Calw,151588,42841,28571,19473,26770,3656,17301,3076,1155,2232,197,477,451,,109,,,29,189,,28,,,116,,,,2992,795,202,,48,,98,,,,529,,253
281,Freiburg,179873,31296,38183,8854,19145,12429,56861,1821,1719,2092,60,475,571,,220,,,74,145,,19,,,280,,,,3779,281,96,,35,,27,,,,610,,801
282,Lörrach – Müllheim,172569,38501,41834,14195,24669,5532,32817,2784,1698,2479,150,734,357,,164,,,73,228,,32,,,146,,,,4136,592,195,,60,,63,,,,676,,454
283,Emmendingen – Lahr,166572,41323,39727,14971,22136,5209,28724,3146,1514,3122,168,568,676,,168,,,22,181,,24,,,120,,,,3147,332,169,,64,,31,,,,477,,553
284,Offenburg,155200,40210,33043,15320,22799,4423,23083,3729,1465,2290,146,580,288,,139,,,19,221,,19,,,139,,,,5471,173,230,,62,,43,,,,867,,441
285,Rottweil – Tuttlingen,147813,40818,27523,19747,26768,3320,16036,2726,973,1965,221,549,827,,106,,,12,216,,24,,,243,,,,4135,299,188,,65,,37,,,,644,,371
286,Schwarzwald-Baar,121522,32309,25814,13097,19696,3062,16181,2390,843,1602,196,442,276,,100,,,58,189,,40,,,107,,,,3819,292,152,,51,,33,,,,416,,357
287,Konstanz,156400,36209,32657,13341,23509,5804,32913,2204,1643,1928,141,546,463,,140,,,33,141,,35,,,164,,,,3022,221,167,,45,,103,,,,401,,570
288,Waldshut,135022,35595,30782,11265,18422,3895,23294,2534,894,1732,110,471,469,,113,,,34,155,,17,,,102,,,,3634,216,160,,53,,28,,,,391,,656
289,Reutlingen,152575,39504,31535,15652,25288,5081,24197,2434,1239,1700,151,552,329,,105,,,79,180,,21,,,176,,,,2442,445,205,,71,,49,,,,689,,451
290,Tübingen,159781,34775,32576,12548,22678,8231,37424,1978,1292,1777,132,532,503,,223,,,50,155,,42,,,208,,,,2666,323,147,,37,,36,,,,838,,610
